gene,gene_e
7099,-0.8
7105,2.4
7106,-0.2
7153,0.5
7157,-6.1
7158,0
7159,-0.9
7165,1
7168,-0.5
7264,1.2
7296,0.5
7319,1.4
7358,1.2
7376,0.7
7398,-1.2
7416,-0.5
7466,2.1
7485,-0.6
7494,-2.1
7511,-1.4
7538,-2.3
7690,-0.2
7750,-2.2
7849,-1.7
7852,0.9
7866,-0.9
7867,0.6
7874,-1
7905,-0.6
7982,-0.2
7994,-0.9
8050,-0.3
8061,1.2
8091,-0.3
8202,-1.7
8204,1.9
8243,4.2
8270,1.8
8312,-0.9
8318,-0.6
8321,1.3
8324,0.6
8349,1.8
8396,-1.4
8440,-0.2
8444,-0.4
8446,0.1
8480,0
8503,1
8508,-1.6
8518,-0.8
8520,-0.7
8550,0.7
8553,-1.1
8569,0.9
8573,-0.3
8574,-0.4
8607,0.4
8624,-0.3
8678,-1.1
8720,0.1
8726,-0.9
8727,0.6
8731,0.1
8800,0.4
8804,0
8821,-0.9
8826,-1.3
8835,1.7
8837,0.2
8851,-1
8869,-1.1
8870,0
8878,-0.2
8884,0.6
8895,1.1
8900,0.6
8914,-0.2
8974,-2.4
8985,-1.5
8996,-0.4
9016,1.8
9019,-1.5
9053,-1.1
9093,0.8
9097,-1.1
9112,0.1
9124,-0.6
9126,0.3
9128,-1.5
9133,0.7
9134,0.3
9143,0
9170,1.2
9181,-1.5
9183,0.4
9212,0
9217,-1.6
9221,-2
9246,-1
9261,0.3
9267,-0.6
9270,1
9275,-0.4
9276,-1.7
9289,-1.6
9375,-0.3
9448,-0.5
9455,-0.1
9467,1.2
9488,0.1
9491,0.1
9517,-0.8
9519,-0.1
9531,-1
9533,0.7
9552,-0.6
9637,0.5
9641,0.7
9650,1.2
9653,0.3
9670,0.3
9686,0.4
9688,-1.7
9690,0.5
9695,-0.5
9697,-1
9702,2
9703,-0.4
9709,0.5
9710,-0.4
9712,-0.1
9738,-1.4
9761,-0.3
9797,0.1
9801,0.4
9805,-1
9813,-1
9817,0.9
9833,-1.6
9842,1.1
9847,-0.5
9851,0.7
9854,0.3
9868,2.4
9897,2
9903,-0.2
9915,0.9
9917,0.7
9918,-0.1
9924,-0.2
9926,-1
9928,0
9943,0
9961,-3.7
9988,-0.8
10007,-0.1
10013,-1.1
10038,-0.6
10046,0.2
10049,0.9
10051,-0.1
10057,-0.4
10058,0.3
10059,-0.7
10099,-0.9
10112,0.5
10123,0.2
10131,0.5
10146,0.5
10150,0
10153,0
10165,-0.5
10174,-0.9
10180,1.1
10190,-0.6
10206,-0.5
10221,3.4
10227,-2.2
10237,1.8
10245,0.5
10270,-1
10273,-0.9
10276,-0.5
10285,-0.1
10298,-0.3
10318,-1.6
10320,-0.1
10329,0.3
10362,-0.1
10398,-2.7
10434,-0.5
10450,0.5
10451,0.4
10489,0.3
10491,1.2
10493,-1.9
10494,-0.6
10513,0
10523,-1
10525,-0.1
10557,-1.4
10559,0.7
10589,0.2
10606,1.1
10610,-1.8
10617,-1
10641,1.6
10644,-0.4
10652,0.6
10668,2.9
10670,-1.6
10681,-0.7
10682,-0.9
10695,0.2
10730,4
10732,-0.6
10765,-1.3
10775,0.5
10776,0.5
10782,-0.8
10797,-1
10810,-1.3
10813,0.2
10818,-0.8
10845,-1.3
10857,0.3
10892,1.6
10898,-0.1
10904,-0.9
10915,-0.6
10921,-1
10953,0
10954,0.2
10962,2.2
10969,0.3
10972,-1.3
10973,-1.4
11000,0.6
11004,-4.3
11007,2.7
11011,0.6
11014,0.6
11031,-2.6
11041,0.1
11044,1.5
11065,-0.4
11072,-0.4
11073,-0.1
11098,-1
11137,1.6
11142,0.3
11151,-0.8
11157,0.6
11168,-1.3
11182,-1.6
11188,-0.4
11200,-1.3
11230,-5.8
11232,1.9
11261,-1.5
11284,0.8
11319,1.7
11325,-0.3
11344,-0.3
22794,-0.6
22796,1.5
22809,2.4
22823,-0.6
22827,1.2
22841,-0.5
22883,-0.2
22887,-1.4
22889,0.5
22905,0.8
22908,1.9
22926,-0.6
22934,-0.6
23011,0.3
23013,0.2
23014,1.6
23029,-0.8
23038,0.2
23039,0.7
23061,-1
23076,-1.2
23077,-0.2
23097,1.1
23131,-0.4
23139,-0.3
23142,1
23149,1.8
23161,0.7
23200,-0.1
23210,-0.9
23212,0.5
23223,-0.8
23224,-1.6
23244,-1.1
23271,0.1
23300,1.4
23321,1.2
23325,-0.6
23326,0.3
23335,0.5
23338,0
23365,0.3
23368,1
23378,-0.4
23386,1.1
23410,-0.8
23443,0.8
23463,1.2
23499,-0.4
23512,-0.3
23522,3.7
23530,-0.4
23536,0.6
23585,-0.8
23588,5.8
23597,0.1
23635,0.7
23636,-0.2
23647,-2.5
23658,-1
23659,-1.1
23670,-3.2
24149,0.3
25793,-1.4
25803,4.5
25805,1.6
25825,1
25839,-0.4
25874,1.3
25932,-1
25966,1.7
25976,-1.3
25987,-0.7
26001,-1.2
26020,-0.6
26036,-0.8
26054,-1.2
26064,0.6
26128,1.2
26136,-0.1
26227,-2.1
26292,0.5
26511,0.8
26520,1.3
26993,0
27032,-0.2
27095,0.1
27109,-0.2
27242,1.7
27244,-1.5
27336,0.3
27346,-0.1
28969,-0.2
29082,0.5
29083,1.3
29103,1
29763,0.9
29890,1.2
29911,-0.4
29916,0.5
29928,-0.3
29937,1.8
29978,-2.2
30001,-0.6
30836,-1.1
30849,-0.2
50810,0
50813,-0.2
50814,-0.9
50865,1
51001,2.5
51005,-0.5
51015,0.8
51021,1.4
51024,-1.3
51026,0
51031,0.2
51053,0
51056,1.7
51070,0.6
51071,0
51097,2.3
51116,-0.8
51160,-3
51170,0.4
51203,1.7
51282,-0.2
51293,2.4
51335,-0.4
51375,1.3
51382,0.2
51385,1.4
51422,0
51465,0.9
51466,-0.3
51495,-1.7
51569,0
51599,-0.2
51635,0.8
51719,-0.2
51742,-0.9
53343,-1.2
54205,1.3
54386,-0.3
54438,-0.8
54442,-0.5
54499,0.1
54505,-1.4
54512,1.1
54541,-5.3
54623,-0.6
54681,1.2
54733,1.7
54807,1.4
54850,0.2
54881,-1.2
54915,-1.8
54957,-0.1
55008,-0.8
55011,0.1
55012,0.7
55033,0
55038,0.2
55111,-0.7
55127,-0.9
55129,-0.1
55148,-0.2
55179,-0.3
55256,2.2
55324,-0.3
55556,-0.1
55604,-3.9
55608,-0.3
55620,0.5
55699,1.6
55746,0.3
55748,-2.4
55793,-0.4
55818,1.2
55825,0.5
55837,1.2
55847,1.8
55893,0.2
55958,-0.1
